Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
GE,General Electric Company,203860144400,201.81,7.14%,Aerospace & Defense,8833446,33.10,207825144400,Mega-Cap,Industrials,4.48%,11.87%,18.37%,-3.02%,12.93%,81.82%,224.12%
RTX,RTX Corporation,165552267600,126.01,1.31%,Aerospace & Defense,1310574,35.84,202618267600,Large-Cap,Industrials,4.44%,6.78%,20.98%,-1.21%,7.48%,45.42%,27.95%
BA,The Boeing Company,130781164800,177.48,1.53%,Aerospace & Defense,2243788,,177961164800,Large-Cap,Industrials,5.17%,-1.44%,-2.71%,9.37%,-1.24%,-18.71%,-44.22%
LMT,Lockheed Martin Corporation,118361056900,494.90,-0.89%,Aerospace & Defense,408391,18.08,134531056900,Large-Cap,Industrials,3.18%,2.11%,5.14%,-18.75%,2.76%,9.08%,17.18%
TDG,TransDigm Group Incorporated,76135961600,1354.86,0.06%,Aerospace & Defense,70243,52.85,94754961600,Large-Cap,Industrials,4.68%,6.10%,9.36%,-2.37%,6.84%,28.08%,110.31%
GD,General Dynamics Corporation,73636698200,267.67,-0.44%,Aerospace & Defense,588955,20.41,80802698200,Large-Cap,Industrials,1.03%,1.97%,-6.72%,-12.74%,2.03%,7.82%,46.68%
NOC,Northrop Grumman Corporation,73198624950,497.35,-1.01%,Aerospace & Defense,334731,30.99,86382624950,Large-Cap,Industrials,2.84%,5.39%,12.96%,-4.87%,5.45%,6.05%,31.85%
HWM,Howmet Aerospace Inc.,51477331310,127.61,0.71%,Aerospace & Defense,1185849,48.55,54396331310,Large-Cap,Industrials,3.98%,14.33%,62.39%,19.18%,15.85%,127.32%,462.01%
AXON,"Axon Enterprise, Inc.",46332416480,605.88,-0.28%,Aerospace & Defense,110904,157.00,45894848480,Large-Cap,Industrials,4.76%,-3.81%,96.99%,36.85%,2.23%,136.61%,707.34%
LHX,"L3Harris Technologies, Inc.",42063620700,218.47,-0.72%,Aerospace & Defense,379318,34.76,54434620700,Large-Cap,Industrials,2.77%,3.05%,-6.27%,-11.32%,4.65%,7.44%,-0.18%
HEI,HEICO Corporation,29342035839,239.40,-0.88%,Aerospace & Defense,103998,65.81,31409306839,Large-Cap,Industrials,1.29%,-0.13%,5.70%,-6.60%,0.37%,33.20%,95.69%
HEI.A,HEICO Corporation,29365712896,190.67,-0.62%,Aerospace & Defense,33792,52.42,31551200896,Large-Cap,Industrials,5.93%,2.62%,9.69%,-5.41%,3.16%,38.51%,99.12%
