Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
CSCO,"Cisco Systems, Inc.",245457498800,61.86,0.37%,Communication Equipment,3254792,26.45,255650498800,Mega-Cap,Technology,2.75%,5.31%,30.24%,8.91%,4.11%,20.21%,26.29%
MSI,"Motorola Solutions, Inc.",78867742320,472.99,0.23%,Communication Equipment,126156,51.69,83903742320,Large-Cap,Technology,2.57%,0.42%,20.95%,-1.09%,2.10%,44.64%,166.71%
HPE,Hewlett Packard Enterprise Company,32120358600,24.37,-0.23%,Communication Equipment,3074098,12.65,31650358600,Large-Cap,Technology,4.81%,13.00%,19.24%,22.28%,14.38%,58.88%,63.89%
ERIC,Telefonaktiebolaget LM Ericsson (publ),28853094419,8.83,0.91%,Communication Equipment,7024900,,29214566864,Large-Cap,Technology,2.46%,8.56%,33.18%,3.43%,8.56%,48.56%,-1.57%
UI,Ubiquiti Inc.,25078930465,424.13,1.81%,Communication Equipment,25234,64.20,25500543465,Large-Cap,Technology,0.98%,20.73%,145.49%,64.84%,24.95%,220.75%,143.59%
NOK,Nokia Oyj,25101009293,4.69,1.74%,Communication Equipment,8504059,34.58,22787676605,Large-Cap,Technology,,4.06%,26.30%,-3.76%,4.06%,34.40%,11.62%
ZBRA,Zebra Technologies Corporation,21580040400,418.36,-0.53%,Communication Equipment,81745,56.83,23235040400,Large-Cap,Technology,5.08%,7.00%,30.84%,12.88%,8.89%,68.84%,66.61%
CIEN,Ciena Corporation,13479702600,99.40,4.80%,Communication Equipment,2223545,163.53,13812832600,Large-Cap,Technology,10.68%,8.55%,92.04%,42.50%,11.84%,80.63%,124.92%
JNPR,"Juniper Networks, Inc.",12842942310,38.91,0.31%,Communication Equipment,1165549,51.04,13367842310,Large-Cap,Technology,0.31%,4.16%,4.02%,-1.20%,3.58%,3.69%,58.20%
SATS,EchoStar Corporation,7474264418,28.53,3.67%,Communication Equipment,917888,,31955742418,Mid-Cap,Technology,12.42%,20.97%,42.59%,11.82%,20.18%,78.93%,-34.43%
LITE,Lumentum Holdings Inc.,6832215000,99.90,-0.48%,Communication Equipment,396379,,8537815000,Mid-Cap,Technology,13.55%,17.98%,83.28%,53.11%,19.57%,86.58%,28.56%
ASTS,"AST SpaceMobile, Inc.",6516139790,19.05,-15.30%,Communication Equipment,20905018,,6210731790,Mid-Cap,Technology,4.41%,-1.70%,75.16%,-18.63%,6.59%,627.83%,125.35%
