Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
ZTS,Zoetis Inc.,75177623950,166.16,-0.28%,Drug Manufacturers - Specialty & Generic,739439,31.32,80218623950,Large-Cap,Healthcare,-0.32%,1.09%,-6.69%,-12.05%,2.27%,-11.55%,17.40%
HLN,Haleon plc,41735994210,9.39,1.86%,Drug Manufacturers - Specialty & Generic,5643339,26.78,51995468854,Large-Cap,Healthcare,1.21%,-4.85%,3.48%,-7.62%,-3.35%,8.60%,
TAK,Takeda Pharmaceutical Company Limited,40691647225,12.87,-0.15%,Drug Manufacturers - Specialty & Generic,442890,20.09,72095451035,Large-Cap,Healthcare,-1.60%,-1.60%,-3.52%,-8.90%,-2.64%,-12.37%,-35.87%
TEVA,Teva Pharmaceutical Industries Limited,24972325900,21.47,-2.48%,Drug Manufacturers - Specialty & Generic,2753125,,40928325900,Large-Cap,Healthcare,0.32%,-0.36%,30.93%,21.07%,-0.14%,96.87%,119.66%
NBIX,"Neurocrine Biosciences, Inc.",14876221710,147.64,0.60%,Drug Manufacturers - Specialty & Generic,182931,39.08,13899621710,Large-Cap,Healthcare,2.95%,8.37%,0.73%,25.90%,7.52%,6.84%,38.95%
ITCI,"Intra-Cellular Therapies, Inc.",13528048520,127.37,0.17%,Drug Manufacturers - Specialty & Generic,1767182,,12537445520,Large-Cap,Healthcare,0.35%,52.37%,69.85%,65.32%,52.24%,94.27%,400.00%
VTRS,Viatris Inc.,13326432350,11.17,0.27%,Drug Manufacturers - Specialty & Generic,2327898,,27197832350,Large-Cap,Healthcare,-1.63%,-10.90%,-4.41%,-4.41%,-10.40%,-4.17%,
RDY,Dr. Reddy's Laboratories Limited,12570670629,14.37,-4.77%,Drug Manufacturers - Specialty & Generic,554940,18.83,11859691369,Large-Cap,Healthcare,-1.50%,-1.82%,-3.42%,-4.18%,-4.43%,11.14%,77.20%
LNTH,"Lantheus Holdings, Inc.",6652671858,95.51,0.13%,Drug Manufacturers - Specialty & Generic,151839,15.86,6351611858,Mid-Cap,Healthcare,2.10%,6.84%,-18.32%,-14.89%,6.63%,79.71%,409.56%
ELAN,Elanco Animal Health Incorporated,5981671300,11.94,-1.32%,Drug Manufacturers - Specialty & Generic,1078604,30.25,9848671300,Mid-Cap,Healthcare,2.11%,4.04%,-4.87%,-4.12%,-0.08%,-17.12%,-60.48%
ALKS,Alkermes plc,4888068630,31.59,4.55%,Drug Manufacturers - Specialty & Generic,757863,15.34,4345207630,Mid-Cap,Healthcare,3.99%,1.68%,21.67%,9.02%,5.04%,8.28%,63.08%
ALVO,Alvotech,4006695780,13.18,-0.87%,Drug Manufacturers - Specialty & Generic,37249,,5068924780,Mid-Cap,Healthcare,0.68%,11.59%,11.31%,8.49%,0.45%,-6.01%,
PBH,Prestige Consumer Healthcare Inc.,3823491645,76.86,-0.69%,Drug Manufacturers - Specialty & Generic,52437,18.83,4832831645,Mid-Cap,Healthcare,0.25%,-1.69%,8.63%,8.54%,-0.90%,30.00%,85.41%
PRGO,Perrigo Company plc,3281093400,24.23,0.75%,Drug Manufacturers - Specialty & Generic,221720,,6570893400,Mid-Cap,Healthcare,2.34%,-6.60%,-14.11%,-6.96%,-6.46%,-27.32%,-59.80%
BHC,Bausch Health Companies Inc.,2839442248,7.88,2.07%,Drug Manufacturers - Specialty & Generic,324819,,23596442248,Mid-Cap,Healthcare,1.98%,3.35%,1.58%,-5.51%,-4.22%,-5.28%,-74.03%
AMRX,"Amneal Pharmaceuticals, Inc.",4039848954,8.94,4.93%,Drug Manufacturers - Specialty & Generic,645356,,6606164954,Mid-Cap,Healthcare,3.65%,9.51%,17.68%,0.59%,7.58%,57.78%,60.15%
HCM,HUTCHMED (China) Limited,2471860720,13.57,-4.30%,Drug Manufacturers - Specialty & Generic,76434,,1751507720,Mid-Cap,Healthcare,2.38%,-0.91%,-25.13%,-31.99%,-1.60%,-0.63%,-51.95%
SUPN,"Supernus Pharmaceuticals, Inc.",2107720681,38.31,0.35%,Drug Manufacturers - Specialty & Generic,63403,35.67,1733436681,Mid-Cap,Healthcare,-0.37%,7.73%,26.18%,13.36%,5.56%,37.95%,54.60%
AMPH,"Amphastar Pharmaceuticals, Inc.",1725641446,36.14,,Drug Manufacturers - Specialty & Generic,63745,11.93,2102563446,Small-Cap,Healthcare,-0.28%,-7.66%,-8.76%,-28.89%,-2.67%,-34.34%,80.79%
DVAX,Dynavax Technologies Corporation,1632671100,12.46,0.32%,Drug Manufacturers - Specialty & Generic,163611,95.54,1118847100,Small-Cap,Healthcare,-0.48%,-2.36%,21.17%,13.11%,-2.74%,-10.97%,103.94%
INDV,Indivior PLC,1505578720,11.84,-1.99%,Drug Manufacturers - Specialty & Generic,187428,,1471578720,Small-Cap,Healthcare,1.42%,1.42%,11.98%,35.76%,-4.87%,-30.15%,450.00%
EVO,Evotec SE,1464523482,4.11,-0.48%,Drug Manufacturers - Specialty & Generic,18767,,1712901115,Small-Cap,Healthcare,0.73%,-7.61%,-12.13%,30.28%,-0.72%,-47.29%,
KNSA,"Kiniksa Pharmaceuticals International, plc",1386992140,19.39,0.94%,Drug Manufacturers - Specialty & Generic,73523,,1173807140,Small-Cap,Healthcare,2.07%,-6.70%,-9.51%,-25.79%,-2.88%,1.75%,23.62%
HROW,"Harrow, Inc.",1191796075,33.30,-3.62%,Drug Manufacturers - Specialty & Generic,136469,,1315259075,Small-Cap,Healthcare,-2.40%,0.96%,38.15%,-38.76%,2.98%,264.84%,393.57%
ANIP,"ANI Pharmaceuticals, Inc.",1222395248,58.69,0.90%,Drug Manufacturers - Specialty & Generic,19135,,1694443248,Small-Cap,Healthcare,2.85%,9.02%,-6.48%,-1.89%,5.21%,4.96%,-4.34%
