Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
ASML,ASML Holding N.V.,297229041920,747.36,-2.52%,Semiconductor Equipment & Materials,1010504,39.23,296258430737,Mega-Cap,Technology,5.56%,8.65%,-14.37%,7.37%,10.62%,1.17%,156.94%
AMAT,"Applied Materials, Inc.",159083554350,189.68,-2.98%,Semiconductor Equipment & Materials,2288159,22.71,155871554350,Large-Cap,Technology,0.87%,14.99%,-15.82%,2.79%,15.67%,11.77%,194.43%
LRCX,Lam Research Corporation,107116110000,81.03,-2.67%,Semiconductor Equipment & Materials,4465077,26.91,106032408000,Large-Cap,Technology,9.32%,15.96%,-9.23%,14.29%,15.26%,0.75%,169.70%
KLAC,KLA Corporation,100760738447,753.70,-2.36%,Semiconductor Equipment & Materials,315351,34.37,102762378447,Large-Cap,Technology,7.77%,22.65%,1.23%,14.59%,22.50%,25.92%,331.69%
APH,Amphenol Corporation,94049636100,78.29,0.58%,Electronic Components,3450599,44.88,97950436100,Large-Cap,Technology,9.71%,10.29%,20.96%,16.41%,12.08%,59.49%,187.60%
GLW,Corning Incorporated,46243848090,54.45,0.81%,Electronic Components,1547578,300.06,52038848090,Large-Cap,Technology,10.65%,14.16%,21.89%,14.84%,13.66%,77.43%,81.79%
TEL,TE Connectivity plc,46290177570,155.54,0.29%,Electronic Components,395289,15.01,49174177570,Large-Cap,Technology,8.10%,7.95%,2.92%,4.98%,8.48%,17.01%,55.87%
GRMN,Garmin Ltd.,41515805000,212.68,-1.63%,Scientific & Technical Instruments,231705,27.47,39201575000,Large-Cap,Technology,-0.86%,1.78%,23.15%,30.50%,3.13%,67.88%,112.25%
KEYS,"Keysight Technologies, Inc.",29910440560,173.45,0.42%,Scientific & Technical Instruments,197946,49.21,30144440560,Large-Cap,Technology,4.46%,5.82%,25.71%,9.44%,7.53%,12.43%,64.70%
FTV,Fortive Corporation,27738572550,80.26,0.07%,Scientific & Technical Instruments,363350,32.01,30787172550,Large-Cap,Technology,1.68%,7.48%,4.44%,5.48%,6.69%,8.56%,23.13%
TDY,Teledyne Technologies Incorporated,23717774562,515.70,0.79%,Scientific & Technical Instruments,68780,25.41,25954774562,Large-Cap,Technology,9.10%,9.51%,30.22%,14.49%,10.24%,17.45%,33.48%
TER,"Teradyne, Inc.",21953662800,130.43,-3.24%,Semiconductor Equipment & Materials,735070,42.79,21481457800,Large-Cap,Technology,-0.10%,7.03%,-7.94%,7.04%,7.05%,23.99%,88.40%
TRMB,Trimble Inc.,19024300800,77.06,-0.45%,Scientific & Technical Instruments,234572,12.94,19899400800,Large-Cap,Technology,4.18%,7.47%,34.36%,27.87%,8.96%,52.52%,74.03%
JBL,Jabil Inc.,18447975630,169.85,0.52%,Electronic Components,309046,16.00,19668975630,Large-Cap,Technology,6.83%,16.53%,52.86%,35.86%,17.42%,35.62%,294.70%
FLEX,Flex Ltd.,17240832180,43.97,-1.10%,Electronic Components,906396,19.85,18824832180,Large-Cap,Technology,6.06%,15.06%,53.10%,29.28%,15.81%,93.47%,338.64%
COHR,Coherent Corp.,16697525440,107.96,,Scientific & Technical Instruments,832333,,19833561440,Large-Cap,Technology,11.93%,10.54%,49.90%,9.67%,13.97%,133.83%,188.43%
ENTG,"Entegris, Inc.",15823080420,104.92,-2.12%,Semiconductor Equipment & Materials,746293,69.47,19589715420,Large-Cap,Technology,-0.01%,5.47%,-21.43%,1.67%,5.90%,-13.21%,83.01%
CLS,Celestica Inc.,14343573930,122.30,-0.79%,Electronic Components,1417711,39.13,14886173930,Large-Cap,Technology,14.67%,29.15%,118.18%,117.48%,33.55%,298.93%,1300.80%
SNX,TD SYNNEX Corporation,12039952000,143.03,1.08%,Electronics & Computer Distribution,147468,18.35,15236231000,Large-Cap,Technology,3.85%,21.04%,22.67%,17.18%,20.65%,35.30%,93.10%
ONTO,Onto Innovation Inc.,11088346850,217.72,-3.02%,Semiconductor Equipment & Materials,233298,60.68,10232942850,Large-Cap,Technology,9.69%,34.23%,13.95%,7.39%,34.70%,37.84%,468.35%
FN,Fabrinet,9692233596,265.90,-0.50%,Electronic Components,144463,31.63,8798372596,Mid-Cap,Technology,14.33%,20.78%,13.13%,7.54%,21.54%,32.32%,303.99%
MKSI,"MKS Instruments, Inc.",8256902041,118.56,-3.37%,Scientific & Technical Instruments,251993,266.72,12419902041,Mid-Cap,Technology,1.23%,14.62%,-10.40%,18.81%,13.68%,7.37%,0.90%
NVMI,Nova Ltd.,7461413544,252.54,-1.69%,Semiconductor Equipment & Materials,72852,47.84,7101649544,Mid-Cap,Technology,10.41%,32.73%,26.18%,38.09%,30.43%,77.86%,537.89%
