Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
MSFT,Microsoft Corporation,3317443456000,443.58,-0.59%,Software - Infrastructure,5021523,36.82,3300493456000,Mega-Cap,Technology,4.67%,2.20%,2.08%,6.55%,5.86%,11.92%,167.99%
ORCL,Oracle Corporation,518556384000,184.82,0.33%,Software - Infrastructure,8194748,45.38,595869384000,Mega-Cap,Technology,16.37%,8.58%,32.95%,6.02%,10.55%,67.98%,233.61%
CRM,"Salesforce, Inc.",318317340000,332.56,-0.02%,Software - Application,1619216,54.71,316984340000,Mega-Cap,Technology,3.57%,-3.21%,34.32%,14.19%,-0.51%,18.42%,79.53%
SAP,SAP SE,313892874750,273.52,0.19%,Software - Application,434425,118.70,310145851321,Mega-Cap,Technology,4.28%,10.13%,38.43%,18.97%,10.88%,67.02%,95.64%
NOW,"ServiceNow, Inc.",231785020000,1129.14,0.35%,Software - Application,293182,175.26,228735020000,Mega-Cap,Technology,6.74%,3.11%,49.78%,22.52%,6.14%,50.20%,259.50%
ADBE,Adobe Inc.,188976343080,435.07,-0.51%,Software - Infrastructure,941945,35.09,187146343080,Large-Cap,Technology,4.80%,-2.20%,-20.63%,-12.13%,-1.66%,-28.49%,24.95%
PLTR,Palantir Technologies Inc.,175111400398,77.28,0.53%,Software - Infrastructure,32768413,384.35,170801656398,Large-Cap,Technology,12.81%,-4.57%,168.96%,80.02%,1.64%,358.11%,
INTU,Intuit Inc.,171219630560,601.20,-1.71%,Software - Application,503005,59.44,173675630560,Large-Cap,Technology,-1.57%,-4.93%,-3.91%,-0.37%,-2.68%,-1.69%,114.62%
UBER,"Uber Technologies, Inc.",142809252200,67.96,0.20%,Software - Application,6104902,33.57,143553252200,Large-Cap,Technology,1.19%,11.68%,0.76%,-15.71%,12.43%,4.16%,80.37%
SHOP,Shopify Inc.,137440487449,105.44,-0.87%,Software - Application,1349851,99.41,132532487449,Large-Cap,Technology,2.04%,-2.37%,68.41%,28.68%,0.04%,32.95%,128.54%
