Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
NVDA,NVIDIA Corporation,3562653362000,145.69,-0.94%,Semiconductors,54381063,57.23,3534118362000,Mega-Cap,Technology,7.95%,9.18%,24.71%,2.34%,9.52%,147.21%,2272.48%
AVGO,Broadcom Inc.,1129231897600,238.12,-1.16%,Semiconductors,6436116,195.86,1187449897600,Mega-Cap,Technology,5.66%,9.11%,53.11%,33.85%,3.91%,98.90%,682.00%
TSM,Taiwan Semiconductor Manufacturing Company Limited,1157153609777,223.76,0.25%,Semiconductors,5545434,34.80,1119381977935,Mega-Cap,Technology,7.93%,13.18%,34.64%,10.52%,13.02%,95.45%,283.24%
AMD,"Advanced Micro Devices, Inc.",199548831650,123.42,-0.27%,Semiconductors,12051211,109.78,197242831650,Mega-Cap,Technology,3.16%,3.81%,-18.36%,-21.63%,2.45%,-28.97%,142.41%
QCOM,QUALCOMM Incorporated,189136640000,172.46,1.30%,Semiconductors,2264904,18.98,190470640000,Large-Cap,Technology,3.55%,11.35%,-8.58%,0.73%,10.82%,12.03%,80.07%
TXN,Texas Instruments Incorporated,179752359850,198.55,0.76%,Semiconductors,2425932,36.63,184893359850,Large-Cap,Technology,-0.23%,5.45%,-1.03%,0.65%,5.09%,13.48%,50.58%
ARM,Arm Holdings plc,189106430000,166.55,-7.44%,Semiconductors,11508902,299.88,187006430000,Large-Cap,Technology,22.07%,36.16%,10.12%,18.10%,45.86%,128.98%,
MU,"Micron Technology, Inc.",121700789100,104.92,-3.95%,Semiconductors,12148284,31.39,128485789100,Large-Cap,Technology,5.85%,21.21%,-4.40%,0.14%,29.79%,24.82%,85.23%
ADI,"Analog Devices, Inc.",111167656560,224.74,0.29%,Semiconductors,536329,68.32,116386179560,Large-Cap,Technology,2.69%,5.81%,-3.09%,-0.70%,5.47%,15.05%,87.81%
MRVL,"Marvell Technology, Inc.",106665444470,126.82,1.29%,Semiconductors,4247872,,109892244470,Large-Cap,Technology,4.72%,10.03%,78.42%,47.72%,11.48%,75.62%,343.22%
INTC,Intel Corporation,93247060000,21.45,-1.90%,Semiconductors,20031650,,119397060000,Large-Cap,Technology,10.85%,11.99%,-33.72%,-4.29%,9.03%,-54.60%,-63.90%
NXPI,NXP Semiconductors N.V.,54925653160,216.41,0.15%,Semiconductors,582311,20.62,61959653160,Large-Cap,Technology,1.19%,2.78%,-19.76%,-6.11%,3.96%,-1.04%,61.31%
MPWR,"Monolithic Power Systems, Inc.",33629907600,689.02,-0.06%,Semiconductors,226411,77.72,32167557600,Large-Cap,Technology,14.53%,15.20%,-20.30%,-22.06%,15.49%,7.15%,276.11%
