Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
LIN,Linde plc,210747530800,440.91,-0.38%,Specialty Chemicals,470256,33.63,227822530800,Mega-Cap,Materials,3.42%,4.31%,-0.48%,-8.43%,5.72%,8.65%,109.04%
SHW,The Sherwin-Williams Company,90097892220,360.00,0.63%,Specialty Chemicals,205664,35.60,101958692220,Large-Cap,Materials,3.12%,3.55%,11.15%,-6.29%,5.24%,17.67%,80.96%
APD,"Air Products and Chemicals, Inc.",70493504160,319.63,0.83%,Specialty Chemicals,589593,18.45,82414604160,Large-Cap,Materials,3.29%,7.46%,20.57%,-4.39%,9.29%,21.62%,33.65%
ECL,Ecolab Inc.,68420434060,241.60,-0.01%,Specialty Chemicals,229665,33.89,75328234060,Large-Cap,Materials,2.15%,1.40%,-0.63%,-6.77%,3.12%,20.89%,23.57%
DD,"DuPont de Nemours, Inc.",32460475075,78.05,0.55%,Specialty Chemicals,332468,40.46,37979475075,Large-Cap,Materials,1.81%,0.44%,-2.54%,-8.54%,1.80%,5.35%,25.64%
PPG,"PPG Industries, Inc.",28505840000,123.98,0.90%,Specialty Chemicals,353469,19.47,34452840000,Large-Cap,Materials,4.51%,2.21%,-4.04%,-4.62%,2.86%,-13.10%,-2.40%
LYB,LyondellBasell Industries N.V.,25032269560,77.14,0.07%,Specialty Chemicals,1115398,11.73,35017269560,Large-Cap,Materials,1.31%,4.87%,-20.54%,-14.11%,3.78%,-17.46%,-13.77%
IFF,International Flavors & Fragrances Inc.,21858254180,85.07,-0.49%,Specialty Chemicals,209650,,30995254180,Large-Cap,Materials,1.57%,-0.29%,-10.64%,-17.85%,1.11%,7.51%,-36.58%
RPM,RPM International Inc.,16339707120,127.20,0.09%,Specialty Chemicals,135687,25.12,18401447120,Large-Cap,Materials,1.03%,1.44%,13.00%,-3.92%,3.28%,17.57%,71.95%
WLK,Westlake Corporation,15153844322,116.93,-0.69%,Specialty Chemicals,106221,165.83,17584844322,Large-Cap,Materials,0.93%,3.98%,-19.15%,-13.74%,2.70%,-14.98%,68.51%
SQM,Sociedad Química y Minera de Chile S.A.,11142333656,38.93,1.17%,Specialty Chemicals,377661,12.18,13183450656,Large-Cap,Materials,-4.44%,3.22%,-2.95%,-2.19%,5.83%,-19.63%,28.95%
EMN,Eastman Chemical Company,10684860340,92.82,0.69%,Specialty Chemicals,263954,12.36,15116860340,Large-Cap,Materials,0.35%,0.33%,-5.40%,-14.01%,0.81%,5.34%,25.18%
ALB,Albemarle Corporation,10607985000,89.50,-0.84%,Specialty Chemicals,815322,,12512468000,Large-Cap,Materials,-5.15%,1.81%,-2.00%,-3.83%,4.84%,-21.61%,10.98%
AXTA,Axalta Coating Systems Ltd.,7968022020,36.62,0.22%,Specialty Chemicals,211053,24.52,10922022020,Mid-Cap,Materials,2.27%,6.02%,3.05%,4.05%,6.58%,11.43%,24.22%
ESI,Element Solutions Inc,6319243485,26.22,0.31%,Specialty Chemicals,185266,23.55,7869443485,Mid-Cap,Materials,2.47%,3.36%,-3.01%,5.32%,2.79%,13.75%,109.29%
ALTM,Arcadium Lithium plc,6163360473,5.74,0.09%,Specialty Chemicals,4490724,31.83,6806360473,Mid-Cap,Materials,0.35%,18.14%,63.25%,3.80%,11.70%,13.02%,
BCPC,Balchem Corporation,5269498170,161.63,-0.29%,Specialty Chemicals,23948,43.46,5441094170,Mid-Cap,Materials,1.20%,-2.05%,-6.00%,-3.39%,-0.55%,14.92%,51.75%
CBT,Cabot Corporation,4983052662,91.78,0.21%,Specialty Chemicals,51752,13.55,5900052662,Mid-Cap,Materials,0.66%,-0.88%,-3.60%,-18.86%,0.30%,22.47%,106.59%
NEU,NewMarket Corporation,4723911273,489.81,-0.51%,Specialty Chemicals,1178,10.93,5801907273,Mid-Cap,Materials,-0.77%,-5.98%,-8.71%,-5.19%,-6.82%,-17.35%,6.07%
AVNT,Avient Corporation,3888925686,42.80,1.13%,Specialty Chemicals,60160,26.11,5450925686,Mid-Cap,Materials,2.49%,2.57%,-6.59%,-11.93%,4.17%,13.93%,19.26%
ASH,Ashland Inc.,3349808400,71.80,1.66%,Specialty Chemicals,86082,21.14,4517808400,Mid-Cap,Materials,0.41%,-1.13%,-26.22%,-17.76%,-0.59%,-9.94%,-6.23%
FUL,H.B. Fuller Company,3353284534,61.90,0.20%,Specialty Chemicals,81724,18.90,5242942534,Mid-Cap,Materials,-1.56%,-10.14%,-26.90%,-18.22%,-9.23%,-21.21%,24.59%
SXT,Sensient Technologies Corporation,3210948640,76.13,0.58%,Specialty Chemicals,28624,36.25,3817417640,Mid-Cap,Materials,4.19%,3.31%,-6.22%,-1.68%,6.32%,21.56%,18.40%
SSL,Sasol Limited,2979279396,4.72,-4.74%,Specialty Chemicals,816880,,7664168943,Mid-Cap,Materials,-3.12%,6.21%,-32.15%,-23.10%,8.77%,-41.92%,-73.43%
WDFC,WD-40 Company,3125108340,228.70,-0.87%,Specialty Chemicals,16144,44.20,3183472340,Mid-Cap,Materials,0.57%,-7.70%,-8.20%,-10.76%,-4.94%,-12.63%,21.97%
CC,The Chemours Company,2958337800,19.68,-0.61%,Specialty Chemicals,176422,45.00,6529337800,Mid-Cap,Materials,3.72%,11.74%,-17.50%,5.94%,17.16%,-33.47%,21.92%
IOSP,Innospec Inc.,2874519400,114.89,-0.31%,Specialty Chemicals,24407,20.11,2616419400,Mid-Cap,Materials,1.59%,4.55%,-10.67%,4.67%,4.22%,-4.46%,7.41%
HWKN,"Hawkins, Inc.",2460562069,118.75,0.92%,Specialty Chemicals,37192,30.09,2566498069,Mid-Cap,Materials,6.43%,-5.09%,11.88%,-5.50%,-4.08%,80.28%,461.40%
KWR,Quaker Chemical Corporation,2460141679,138.48,0.63%,Specialty Chemicals,23060,20.19,3008112679,Mid-Cap,Materials,3.23%,-0.72%,-23.60%,-13.32%,-2.24%,-29.44%,-18.21%
MTX,Minerals Technologies Inc.,2430875601,76.17,-0.09%,Specialty Chemicals,46968,16.15,3089275601,Mid-Cap,Materials,0.82%,0.81%,-10.51%,-2.19%,0.03%,16.49%,33.22%
PRM,"Perimeter Solutions, Inc.",2034031063,13.88,-0.25%,Specialty Chemicals,459554,,2498101063,Mid-Cap,Materials,2.17%,5.72%,53.94%,2.78%,6.96%,214.98%,
NGVT,Ingevity Corporation,1715495775,48.01,1.60%,Specialty Chemicals,35080,,3136295775,Small-Cap,Materials,12.85%,15.81%,6.32%,39.79%,15.95%,15.64%,-41.27%
SCL,Stepan Company,1422564828,63.61,0.59%,Specialty Chemicals,18441,31.46,2019734828,Small-Cap,Materials,-0.44%,-5.78%,-29.15%,-14.03%,-2.26%,-30.21%,-37.90%
KRO,"Kronos Worldwide, Inc.",1102044880,9.74,2.74%,Specialty Chemicals,58380,11.85,1571544880,Small-Cap,Materials,,-3.36%,-14.75%,-19.86%,-2.77%,6.04%,-23.18%
ECVT,Ecovyst Inc.,908778000,7.83,0.32%,Specialty Chemicals,71574,16.96,1667348000,Small-Cap,Materials,2.09%,3.72%,-17.02%,21.12%,2.09%,-12.46%,
OEC,Orion S.A.,861762586,15.09,1.07%,Specialty Chemicals,69431,28.17,1779062586,Small-Cap,Materials,-1.06%,-3.93%,-34.52%,-11.24%,-5.45%,-35.28%,-15.93%
