Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
ETN,Eaton Corporation plc,146710096000,369.81,-0.38%,Specialty Industrial Machinery,674147,39.49,154792096000,Large-Cap,Industrials,8.36%,9.79%,19.03%,6.96%,11.86%,51.77%,292.75%
PH,Parker-Hannifin Corporation,86820352800,677.72,0.48%,Specialty Industrial Machinery,111692,30.45,96638200800,Large-Cap,Industrials,2.77%,4.22%,23.84%,5.51%,6.05%,43.40%,233.82%
ITW,Illinois Tool Works Inc.,76524042000,259.61,0.18%,Specialty Industrial Machinery,132992,22.42,83923042000,Large-Cap,Industrials,2.10%,0.12%,6.81%,0.30%,2.20%,1.42%,45.68%
EMR,Emerson Electric Co.,73700159055,130.45,0.39%,Specialty Industrial Machinery,856902,37.72,77799159055,Large-Cap,Industrials,7.64%,4.71%,12.33%,17.69%,4.85%,36.91%,68.21%
CMI,Cummins Inc.,50208612000,367.20,0.33%,Specialty Industrial Machinery,201811,24.22,55544612000,Large-Cap,Industrials,1.44%,4.16%,25.71%,9.70%,4.99%,59.68%,113.95%
AME,"AMETEK, Inc.",43846744480,189.88,0.63%,Specialty Industrial Machinery,233215,33.02,45787012480,Large-Cap,Industrials,4.80%,2.91%,11.55%,11.42%,4.68%,16.46%,86.35%
OTIS,Otis Worldwide Corporation,38104584790,96.39,1.05%,Specialty Industrial Machinery,429897,23.79,44826584790,Large-Cap,Industrials,3.40%,1.96%,-2.39%,-9.60%,3.00%,8.67%,
IR,Ingersoll Rand Inc.,37975820760,94.00,-0.24%,Specialty Industrial Machinery,526970,45.97,41384320760,Large-Cap,Industrials,4.09%,2.11%,-2.72%,-5.80%,4.17%,19.46%,172.66%
ROK,"Rockwell Automation, Inc.",32660885350,288.20,-0.26%,Specialty Industrial Machinery,196073,34.90,36184985350,Large-Cap,Industrials,4.65%,-0.29%,7.11%,7.04%,1.11%,-4.78%,43.19%
XYL,Xylem Inc.,29498381900,121.31,-0.28%,Specialty Industrial Machinery,414126,34.96,30503381900,Large-Cap,Industrials,4.78%,3.84%,-11.53%,-8.21%,4.84%,8.73%,47.62%
DOV,Dover Corporation,27275141520,199.59,0.39%,Specialty Industrial Machinery,123651,17.78,30275490520,Large-Cap,Industrials,4.23%,5.04%,8.23%,3.15%,5.98%,34.25%,68.54%
SYM,Symbotic Inc.,19365909307,33.16,-0.39%,Specialty Industrial Machinery,401334,,18638599307,Large-Cap,Industrials,24.36%,38.77%,-15.05%,10.45%,40.41%,-24.51%,
PNR,Pentair plc,17298033390,104.56,-0.13%,Specialty Industrial Machinery,134976,26.17,18708333390,Large-Cap,Industrials,3.07%,2.69%,32.79%,6.44%,4.02%,46.71%,124.08%
