Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio
NVDA,NVIDIA Corporation,3562653362000,145.87,-0.82%,Semiconductors,77614287,57.23
AAPL,Apple Inc.,3365933157000,224.12,0.13%,Consumer Electronics,23669863,36.81
AMZN,"Amazon.com, Inc.",2463034651500,234.08,-0.40%,Internet Retail,10949108,50.06
GOOG,Alphabet Inc.,2438040889686,201.55,0.76%,Internet Content & Information,5289101,26.53
META,"Meta Platforms, Inc.",1586990756841,629.22,0.92%,Internet Content & Information,3447185,29.64
TSLA,"Tesla, Inc.",1326846200400,412.05,-0.74%,Auto Manufacturers,27043991,113.22
AVGO,Broadcom Inc.,1129231897600,238.16,-1.14%,Semiconductors,6424999,195.86
TSM,Taiwan Semiconductor Manufacturing Company Limited,1157153609777,223.69,0.22%,Semiconductors,5534273,34.80
JPM,JPMorgan Chase & Co.,739983965600,264.64,0.68%,Banks - Diversified,4062743,14.62
ORCL,Oracle Corporation,518556384000,184.57,0.19%,Software - Infrastructure,8161724,45.38
MA,Mastercard Incorporated,480138674240,533.43,1.19%,Credit Services,825011,39.85
NFLX,"Netflix, Inc.",420255332700,979.77,2.70%,Entertainment,4085786,55.52
HD,"The Home Depot, Inc.",407378166300,412.10,0.49%,Home Improvement Retail,1219993,27.84
BAC,Bank of America Corporation,355845759300,46.72,2.02%,Banks - Diversified,15616743,16.94
CRM,"Salesforce, Inc.",318317340000,332.80,0.05%,Software - Application,1613101,54.71
ASML,ASML Holding N.V.,297229041920,746.82,-2.59%,Semiconductor Equipment & Materials,1009158,39.23
CVX,Chevron Corporation,281604003000,156.05,-0.23%,Oil & Gas Integrated,2097079,17.24
WFC,Wells Fargo & Company,258168654600,77.84,0.39%,Banks - Diversified,3131659,16.09
AXP,American Express Company,227007401250,324.74,0.77%,Credit Services,1286335,23.71
ACN,Accenture plc,224616122800,362.63,0.98%,Information Technology Services,509120,30.10
BX,Blackstone Inc.,239479819883,183.65,0.48%,Asset Management,581727,63.13
MS,Morgan Stanley,221139405600,137.12,0.82%,Capital Markets,1999534,20.89
GE,General Electric Company,203860144400,202.18,7.33%,Aerospace & Defense,8806825,33.10
